County,Cases,Confirmed Deaths,Population,Land,Population Density,Median Income,Poverty Rate,Child Poverty Rate,Senior Poverty Rate,Housing Wage
Allegany,279,18,65671,427.62,153.573266,41559,0.174,0.247,0.09,13.13
Ann Arundel,7200,211,543203,418.37,1298.379425,91918,0.061,0.071,0.056,26.24
Baltimore City,12075,407,597753,80.34,7440.291262,44262,0.231,0.333,0.168,26.46
Baltimore,12777,535,805098,597.6,1347.218876,68989,0.093,0.12,0.072,26.46
Calvert,667,27,89555,213.23,419.9924964,96808,0.06,0.63,0.066,33.58
Caroline,444,3,32107,320.79,100.0872845,50830,0.171,0.09,0.087,18.06
Carroll,1516,115,164064,451.98,362.9895128,87060,0.057,0.076,0.047,26.46
Cecil,681,29,100806,359.55,280.3671256,67938,0.106,0.154,0.062,23.29
Charles,1961,89,152062,451.58,336.7332477,91373,0.077,0.11,0.081,33.58
Dorchester,360,5,310980,593.22,524.2237281,47907,0.17,0.284,0.072,17.17
Frederick,3032,114,238673,662.72,360.1415379,85715,0.071,0.097,0.066,33.58
Garret,45,0,28973,656.83,44.11034819,46277,0.127,0.18,0.089,14.6
Hartford,1906,66,247472,447.64,552.8371012,81052,0.077,0.098,0.065,26.46
Howard,3729,100,306508,251,1221.14741,113800,0.049,0.058,0.048,26.46
Kent,236,22,18284,278.34,65.68944456,55028,0.12,0.189,0.056,21.62
Montgomery,18032,758,1018395,495.44,2055.536493,100352,0.069,0.087,0.066,33.58
Prince George's,23225,725,877560,487.01,1801.934252,75925,0.097,0.137,0.073,33.58
Queen Anne's,406,24,48190,371.86,129.5917819,85891,0.065,0.092,0.059,26.46
St. Mary's,951,52,107618,372.54,288.8763623,86810,0.078,0.099,0.067,24.23
Somerset,130,33,19254,338.41,56.89548181,35886,0.251,0.391,0.107,14.12
Talbot,271,4,37244,258.62,144.0105174,61395,0.109,0.149,0.07,23.04
Washington,996,31,140705,454.97,309.2621492,58116,0.129,0.194,0.088,16.69
Wisomico,1322,45,97657,379.1,257.6022158,53508,0.163,0.211,0.075,18.19
Worcester,664,19,50731,474.86,106.8335931,57227,0.102,0.139,0.069,18.38
